Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Liechtenstein,89,1,85,3,0,1.12,95.51,1.18,38137,2334.0,99,6,6.06
Lithuania,2252,81,1670,501,21,3.6,74.16,4.85,2722291,827.0,2528,234,9.26
Luxembourg,7205,120,5848,1237,36,1.67,81.17,2.05,625976,11510.0,7637,291,3.81
MS Zaandam,9,2,0,7,0,22.22,0.0,inf,0,inf,9,0,0.0
Madagascar,13086,148,10816,2122,164,1.13,82.65,1.37,27691019,473.0,14154,438,3.09
Malawi,4658,146,2375,2137,34,3.13,50.99,6.15,19129955,243.0,5282,214,4.05
Malaysia,9083,125,8784,174,13,1.38,96.71,1.42,32365998,281.0,9240,56,0.61
Maldives,5041,19,2804,2218,143,0.38,55.62,0.68,540542,9326.0,6370,959,15.05
Mali,2567,125,1962,480,2,4.87,76.43,6.37,20250834,127.0,2667,63,2.36
Malta,1089,9,684,396,54,0.83,62.81,1.32,441539,2466.0,1510,278,18.41
Mauritania,6523,157,5527,839,13,2.41,84.73,2.84,4649660,1403.0,6848,145,2.12
Mauritius,344,10,334,0,0,2.91,97.09,2.99,1271767,270.0,346,9,2.6
Mexico,480278,52298,384432,43548,4376,10.89,80.04,13.6,255584572,1879.0,543806,36108,6.64
Moldova,27660,845,19300,7515,217,3.05,69.78,4.38,4033963,6857.0,31937,3609,11.3
Monaco,133,4,113,16,2,3.01,84.96,3.54,39244,3389.0,150,4,2.67
Mongolia,293,0,263,30,0,0.0,89.76,0.0,3278292,89.0,298,3,1.01
Montenegro,3618,64,2452,1102,30,1.77,67.77,2.61,628062,5761.0,4229,329,7.78
Morocco,33237,498,23347,9392,1230,1.5,70.24,2.13,36910558,900.0,47638,9447,19.83
Mozambique,2269,16,840,1413,28,0.71,37.02,1.9,31255435,73.0,3115,536,17.21
Namibia,2949,19,704,2226,147,0.64,23.87,2.7,2540916,1161.0,4912,1800,36.64
